[2025-07-14 14:26:15,147 | root | INFO]: Daemon process with name TestDaemon started with PID: 12400
[2025-07-14 14:26:15,464 | root | INFO]: Daemon listening on 127.0.0.1:21201
[2025-07-14 14:26:18,470 | root | INFO]: Running target function target
[2025-07-14 14:26:18,471 | root | INFO]: Arguments: ()
[2025-07-14 14:26:18,471 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:26:18,471 | root | INFO]: Target function is running

[2025-07-14 14:26:18,471 | root | ERROR]: 
[2025-07-14 14:26:21,480 | root | INFO]: Running target function target
[2025-07-14 14:26:21,480 | root | INFO]: Arguments: ()
[2025-07-14 14:26:21,480 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:26:21,480 | root | INFO]: Target function is running

[2025-07-14 14:26:21,481 | root | ERROR]: 
[2025-07-14 14:26:21,481 | root | INFO]: 
[2025-07-14 14:26:21,481 | root | ERROR]: 
[2025-07-14 14:26:24,487 | root | INFO]: Running target function target
[2025-07-14 14:26:24,487 | root | INFO]: Arguments: ()
[2025-07-14 14:26:24,487 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:26:24,487 | root | INFO]: Target function is running

[2025-07-14 14:26:24,488 | root | ERROR]: 
[2025-07-14 14:26:24,488 | root | INFO]: 
[2025-07-14 14:26:24,488 | root | ERROR]: 
[2025-07-14 14:26:24,488 | root | INFO]: 
[2025-07-14 14:26:24,488 | root | ERROR]: 
[2025-07-14 14:26:27,488 | root | INFO]: Running target function target
[2025-07-14 14:26:27,488 | root | INFO]: Arguments: ()
[2025-07-14 14:26:27,488 | root | INFO]: Keyword arguments: {}
[2025-07-14 14:26:27,489 | root | INFO]: Target function is running

[2025-07-14 14:26:27,489 | root | ERROR]: 
[2025-07-14 14:26:27,489 | root | INFO]: 
[2025-07-14 14:26:27,489 | root | ERROR]: 
[2025-07-14 14:26:27,489 | root | INFO]: 
[2025-07-14 14:26:27,489 | root | ERROR]: 
[2025-07-14 14:26:27,490 | root | INFO]: 
